 ! Fichier pour convertir les lettres grecques de Beta-Code en Utf-8 et réciproquement				
 ! Dans le sens Beta-Code --> utf-8, l'ordre a son importance :				
 ! - les lettres les plus décorées passent devant  !				
 ! Pour le sens utf-8 --> betacode, j'ai gardé les alpha […] with tonos,				
 ! qu'il ne faut pas utiliser (remplacés par alpha […] with oxia).				
 !				
 ! Philippe, juin 2014.				
 !				
*(/i	U+1F3D	Ἵ	225188189	GREEK CAPITAL LETTER IOTA WITH DASIA AND OXIA
*)=i	U+1F3E	Ἶ	225188190	GREEK CAPITAL LETTER IOTA WITH PSILI AND PERISPOMENI
*(=i	U+1F3F	Ἷ	225188191	GREEK CAPITAL LETTER IOTA WITH DASIA AND PERISPOMENI
*)\o	U+1F4A	Ὂ	225189138	GREEK CAPITAL LETTER OMICRON WITH PSILI AND VARIA
*(\o	U+1F4B	Ὃ	225189139	GREEK CAPITAL LETTER OMICRON WITH DASIA AND VARIA
*)/o	U+1F4C	Ὄ	225189140	GREEK CAPITAL LETTER OMICRON WITH PSILI AND OXIA
*(/o	U+1F4D	Ὅ	225189141	GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA
*(\u	U+1F5B	Ὓ	225189155	GREEK CAPITAL LETTER UPSILON WITH DASIA AND VARIA
*(/u	U+1F5D	Ὕ	225189157	GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
*(=u	U+1F5F	Ὗ	225189159	GREEK CAPITAL LETTER UPSILON WITH DASIA AND PERISPOMENI
*)\w	U+1F6A	Ὢ	225189170	GREEK CAPITAL LETTER OMEGA WITH PSILI AND VARIA
*(\w	U+1F6B	Ὣ	225189171	GREEK CAPITAL LETTER OMEGA WITH DASIA AND VARIA
*)/w	U+1F6C	Ὤ	225189172	GREEK CAPITAL LETTER OMEGA WITH PSILI AND OXIA
*(/w	U+1F6D	Ὥ	225189173	GREEK CAPITAL LETTER OMEGA WITH DASIA AND OXIA
*)=w	U+1F6E	Ὦ	225189174	GREEK CAPITAL LETTER OMEGA WITH PSILI AND PERISPOMENI
*(=w	U+1F6F	Ὧ	225189175	GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI
a)\|	U+1F82	ᾂ	225190130	GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA AND YPOGEGRAMMENI
a(\|	U+1F83	ᾃ	225190131	GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA AND YPOGEGRAMMENI
a)/|	U+1F84	ᾄ	225190132	GREEK SMALL LETTER ALPHA WITH PSILI AND OXIA AND YPOGEGRAMMENI
a(/|	U+1F85	ᾅ	225190133	GREEK SMALL LETTER ALPHA WITH DASIA AND OXIA AND YPOGEGRAMMENI
a)=|	U+1F86	ᾆ	225190134	GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
a(=|	U+1F87	ᾇ	225190135	GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
*)a|	U+1F88	ᾈ	225190136	GREEK CAPITAL LETTER ALPHA WITH PSILI AND PROSGEGRAMMENI
*(a|	U+1F89	ᾉ	225190137	GREEK CAPITAL LETTER ALPHA WITH DASIA AND PROSGEGRAMMENI
h)\|	U+1F92	ᾒ	225190146	GREEK SMALL LETTER ETA WITH PSILI AND VARIA AND YPOGEGRAMMENI
h(\|	U+1F93	ᾓ	225190147	GREEK SMALL LETTER ETA WITH DASIA AND VARIA AND YPOGEGRAMMENI
h)/|	U+1F94	ᾔ	225190148	GREEK SMALL LETTER ETA WITH PSILI AND OXIA AND YPOGEGRAMMENI
h(/|	U+1F95	ᾕ	225190149	GREEK SMALL LETTER ETA WITH DASIA AND OXIA AND YPOGEGRAMMENI
h)=|	U+1F96	ᾖ	225190150	GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
h(=|	U+1F97	ᾗ	225190151	GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
*)h|	U+1F98	ᾘ	225190152	GREEK CAPITAL LETTER ETA WITH PSILI AND PROSGEGRAMMENI
*(h|	U+1F99	ᾙ	225190153	GREEK CAPITAL LETTER ETA WITH DASIA AND PROSGEGRAMMENI
w)\|	U+1FA2	ᾢ	225190162	GREEK SMALL LETTER OMEGA WITH PSILI AND VARIA AND YPOGEGRAMMENI
